X座標,Y座標,施設名（施,EOF
34.70317486,135.5538784,城北川新光製糖の艀（しろきたがわしんこうせいとうのはしけ）,EOF
34.70219892,135.5542032,リバーサイドテラス（リバーサイドテラス）,EOF
34.70903628,135.5513668,関目2丁目・4丁目の楠並木（せきめにちょうめ・よんちょうめのくすのきなみき）,EOF
34.70631389,135.5541709,南菫橋（ミナミスミレバシ）,EOF
34.71135464,135.5594604,大阪信愛女学院（おおさかしんあいじょがくいん）,EOF
34.704533,135.5735138,大阪市立鶴見図書館（おおさかしりつつるみとしょかん）,EOF
34.70582425,135.5715364,横堤　花と緑のプロムナード（よこづつみ　はなとみどりのぷろむなーど）,EOF
34.70793483,135.5888831,井路の名残り（いじのなごり）,EOF
34.71010297,135.5736277,咲くやこの花館（さくやこのはなかん）,EOF
34.70986003,135.5736102,咲くやこの花館（さくやこのはなかん）,EOF
34.71197789,135.5788283,環境学習センター（生き生き地球館）（かんきょうがくしゅうせんたー（いきいきちきゅうかん））,EOF
34.71183389,135.5787373,花博記念公園鶴見緑地（はなはくきねんこうえんつるみりょくち）,EOF
34.712305,135.5932348,鶴見はなぽ〜とブロッサム（つるみはなぽーとぶろっさむ）,EOF
34.72436683,135.5053782,水道記念館（すいどうきねんかん）,EOF
34.72440153,135.5054031,水道記念館（旧柴島浄水場第1配水ポンプ場）（すいどうきねんかん（きゅうくにじまじょうすいじょうだいいちはいすいぽんぷじょう））,EOF
34.71771794,135.5207893,毛馬桜之宮公園（けまさくらのみやこうえん）,EOF
34.7181905,135.5212602,淀川神社（よどがわじんじゃ）,EOF
34.72082794,135.5424418,大阪市立旭図書館（おおさかしりつあさひとしょかん）,EOF
34.72516311,135.5191729,淀川河川敷（都島区）（よどがわかせんじき（みやこじまく））,EOF
34.72937881,135.5315131,淀川城北ワンド（よどがわしろきたわんど）,EOF
34.7293515,135.5394012,城北公園（しろきたこうえん）,EOF
34.73386117,135.5197557,大阪市立東淀川図書館（おおさかしりつひがしよどがわとしょかん）,EOF
34.73474189,135.5356074,菅原城北大橋（すがはらしろきたおおはし）,EOF
34.72500917,135.5538636,千林の長屋（せんばやしのながや）,EOF
34.82788661,135.5265066,大阪国際センター（JICA大阪）（おおさかこくさいせんたー（じゃいかおおさか））,EOF
34.58779408,135.5016248,山之内公園（やまのうちこうえん）,EOF
34.58891894,135.5003501,山之内西公園（やまのうちにしこうえん）,EOF
34.59004192,135.5076473,浅香町公園（あさかちょうこうえん）,EOF
34.58953089,135.510122,大和川西（やまとがわにし）,EOF
34.59020314,135.5103558,浅香南公園（あさかみなみこうえん）,EOF
34.59102806,135.5101718,浅香中央公園（あさかちゅうおうこうえん）,EOF
34.59326394,135.5005253,山之内中央公園（やまのうちちゅうおうこうえん）,EOF
34.59400011,135.4994722,遠里小野3丁目第1児童遊園（おりおのさんちょうめだいいちじどうゆうえん）,EOF
